title,budget,imdb_id,original_language,original_title,overview,release_date,runtime,tagline,revenue
Being 17,0,tt4331970,fr,Quand on a 17 Ans,"Set in the beautiful high Pyrenees in south-west France, Damien lives with his mother Marianne, a doctor, while his father, a pilot, is on a tour of duty abroad with the French military. At school, Damien is bullied by Thomas,  who lives in the farming community up in the mountains, nut learns to fight back. The boys find themselves living together when Marianne invites Thomas to come and stay with them while his mother is ill in hospital. Damien must learn to live with the boy who terrorised him.",27/02/2016,116.0,Adolescence is the only time when you learn something at all,2000000
Meet the Blacks,0,tt4191580,en,Meet the Blacks,"As Carl Black gets the opportunity to move his family out of Chicago in hope of a better life, their arrival in Beverly Hills is timed with that city's annual purge, where all crime is legal for twelve hours.",01/04/2016,90.0,,9097072
Um Suburbano Sortudo,6000000,tt5529392,pt,Um Suburbano Sortudo,,11/02/2016,0.0,,11600000
In Her Name,0,tt4228810,fr,Au nom de ma fille,"In 1982, AndrÃ© Bamberski learns about the death of his 14 year-old daughter, Kalinka, while she was on vacation with her mother and stepfather in Germany. Convinced that Kalinkaâ€™s death was not an accident, Bamberski begins to investigate. A botched autopsy report raises his suspicions and leads him to accuse Kalinkaâ€™s stepfather, Dr Dieter Krombach, as the murderer. Unable to indict Krombach in Germany, Bamberski attempts to take the trial to France, where he will dedicate his life to Kalinkaâ€™s justice and the imprisonment of Krombach.",16/03/2016,87.0,,1600000
The Monkey King 2,68490000,tt4591310,zh,è¥¿æ¸¸è®°ä¹‹å­™æ‚Ÿç©ºä¸‰æ‰“ç™½éª¨ç²¾,"Taking place 500 years after the Havoc in Heaven, the Tang Priest is appointed by Buddha to go to the West to fetch the sacred scriptures, only to accidentally free the Monkey King. With Lady White (Gong Li) aiming to break up the team assembled to defeat her, the Monkey King must fight in order to save his world!",22/01/2016,120.0,,193677158
Sadako vs. Kayako,0,tt5309954,ja,Sadako vs. Kayako,"A girl, YÅ«ri Kurahashi, after watching a cursed videotape together with her friend in a haunted house, becomes trapped in a conflict between the two murderous ghosts: Sadako Yamamura and Kayako Saeki",18/06/2016,98.0,Who will win this curse!?,8992523
Wonderstruck,0,tt5208216,en,Wonderstruck,The story of a young boy in the Midwest is told simultaneously with a tale about a young girl in New York from fifty years ago as they both seek the same mysterious connection.,20/10/2017,120.0,"It's not what you look at that matters, it's what you see.",1947099
Heal the Living,10000000,tt5096536,fr,RÃ©parer les vivants,"It all starts at daybreak, three young surfers on the raging seas. A few hours later, on the way home, an accident occurs. Now entirely hooked up to life-support in a hospital in Le Havre, Simonâ€™s existence is little more than an illusion. Meanwhile, in Paris, a woman awaits the organ transplant that will give her a new lease on life.",01/11/2016,104.0,"One moment leads to another, one life leads to the next",3176
Person to Person,0,tt5247026,en,Person to Person,Follows a variety of New York characters as they navigate personal relationships and unexpected problems over the course of one day.,28/07/2017,84.0,,48499
North Sea Hijack,0,tt0081809,en,North Sea Hijack,"A terrorist (Anthony Perkins) holds an offshore drilling rig and production platform for ransom in the North Sea. Ffolkes (Roger Moore) a wealthy misogynistic eccentric, volunteers to send his crack team of soldiers in to stop the terrorists. With few other options available, the British Government reluctantly accepts his help.",18/02/1980,100.0,"When the next 12 hours could cost you 1,000 million pounds and 600 lives you need a man who lives second by second",2993772
Ki and Ka,3000000,tt4744086,hi,Ki and Ka,"Ki and Ka (English: Hers and His) is an Indian romantic drama film written, directed, and produced by R. Balki. The film follows a young, married couple contradicting the gender roles placed upon women and men in Indian society. It stars Kareena Kapoor and Arjun Kapoor.",01/04/2016,126.0,Striling Pulling Samething,15480000
The Beatles: Eight Days a Week - The Touring Years,0,tt2531318,en,The Beatles: Eight Days a Week - The Touring Years,"Director Ron Howard tracks the fan phenomena that was Beatlemania from its zenith - 1963 to 1966 - to its end when the Fab Four withdrew from live performance. Landmarks from their US breakthrough in 1964 with I Want to Hold Your Hand to the controversy prompted by John Lennon's flippant ""more popular than Jesus"" remark are chronicled in a documentary that includes among its interviewees Paul McCartney, Elvis Costello and Eddie Izzard.",15/09/2016,99.0,The band you know. The story you don't.,12283800
Clash,0,tt5599692,ar,Eshtebak,"Inspired by a real event , Clash takes place almost entirely in a riot van during a demonstration in Cairo after the removal of President Morsi in 2013.",27/07/2016,97.0,,18215
Phantom Detective,0,tt5644726,ko,íƒì • í™ê¸¸ë™: ì‚¬ë¼ì§„ ë§ˆì„,"HONG Gildong is an infallible private detective with an exceptional memory and quirky personality. While chasing the only target he failed to find, he gets entangled in a much bigger conspiracy than he bargained for.",04/05/2016,125.0,It takes a bad guy to catch a bad guy,67054
Suburbicon,0,tt0491175,en,Suburbicon,"A crime mystery set in the quiet family town of Suburbicon during the 1950s, where the best and worst of humanity is hilariously reflected through the deeds of seemingly ordinary people. When a home invasion turns deadly, a picture-perfect family turns to blackmail, revenge, and murder.",02/11/2017,0.0,,5775178
Annabelle: Creation,15000000,tt5140878,en,Annabelle: Creation,"Several years after the tragic death of their little girl, a dollmaker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the dollmaker's possessed creation, Annabelle.",09/08/2017,0.0,You don't know the real story,305092201
Madaari,0,tt5713232,hi,à¤®à¤¦à¤¾à¤°à¥€,"Nirmal loses his family in a man-made disaster, he starts the journey of seeking answers asking for accountability which leads him to a deadly path. The journey brings out the extraordinaire out of an ordinary man.",10/06/2016,134.0,Sshhh...Desh So Raha hai,4201176
Vengeance: A Love Story,0,tt5460530,en,Vengeance: A Love Story,A Gulf War veteran seeks vengeance against those who assaulted a single mother.,16/03/2017,99.0,,4526
Borg vs McEnroe,7977342,tt5727282,sv,Borg vs McEnroe,"Borg/McEnroe is a film about one of the world's greatest icons BjÃ¶rn Borg and his biggest rival, the young and talented John McEnroe and their legendary duel during the 1980's Wimbledon tournament. It's a story about two men that became legends and the price they had to pay.",15/09/2017,90.0,,16657800
You Were Never Really Here,0,tt5742374,en,You Were Never Really Here,A missing teenage girl. A brutal and tormented enforcer on a rescue mission. Corrupt power and vengeance unleash a storm of violence that may lead to his awakening.,05/10/2017,95.0,,2528078
Call Me by Your Name,3500000,tt5726616,en,Call Me by Your Name,"Call Me by Your Name is the story of a sudden and powerful romance that blossoms between an adolescent boy and a summer guest at his parents' cliffside mansion on the Italian Riviera. During the restless summer weeks, unrelenting but buried currents of obsession, fascination, and desire intensify their passion as they test the charged ground between them and verge toward the one thing both already fear they may never truly find again: total intimacy.",27/10/2017,130.0,,41063475
Logan Lucky,29000000,tt5439796,en,Logan Lucky,"Trying to reverse a family curse, brothers Jimmy and Clyde Logan set out to execute an elaborate robbery during the legendary Coca-Cola 600 race at the Charlotte Motor Speedway.",17/08/2017,119.0,See how the other half steals.,48453605
The Bodyguard,0,tt4970038,zh,è¶…çº§ä¿é•–,"Wu-Lin is the successor of an ancient, once powerful Chinese clan, the ""Iron Feet."" After the death of his master, Wu-Lin leaves his rural village for the City of Stone-Cold looking for his fellow apprentice Jiang Li. Along the way, he becomes the bodyguard of Fei-Fei, the daughter of Jia-Shan Li, the richest family in the city, and quickly gets drawn into a mob war in order to protect her.",15/07/2016,98.0,,808237
Befikre,0,tt5108476,hi,Befikre,A youthful love story set in the city of love Paris by ace film maker Aditya Chopra,09/12/2016,132.0,Those Who Dare To Love,9600000
Flatliners,19000000,tt2039338,en,Flatliners,"Five medical students, hoping to gain insight into the mystery of what lies beyond the confines of life, embark on a daring and dangerous experiment. By stopping their hearts for short periods of time, each triggers a near-death experience. As the investigation becomes more and more perilous, they are forced to confront the sins of their pasts, as well as contend with the paranormal consequences of trespassing to the other side.",28/09/2017,0.0,You haven't lived until you've died,45158254
Thelma,5741614,tt6304046,no,Thelma,Supernatural thriller where a young woman discovers she has strange superpowers.,15/09/2017,0.0,,147391
All Eyez on Me,45000000,tt1666185,en,All Eyez on Me,"All Eyez on Me chronicles the life and legacy of Tupac Shakur, including his rise to superstardom as a hip-hop artist, actor, poet and activist, as well as his imprisonment and prolific, controversial time at Death Row Records. Against insurmountable odds, Tupac rose to become a cultural icon whose career and persona both continue to grow long after his passing.",12/06/2017,139.0,Legends never die,44922302
The Death of Stalin,0,tt4686844,en,The Death of Stalin,"Based on the graphic novel by Fabien Nury and Thierry Robin, the drama is set in the days following the Russian leader's stroke in 1953 as his core team of ministers tussles for control.",20/10/2017,0.0,,24640027
Brigsby Bear,0,tt5805752,en,Brigsby Bear,"Brigsby Bear Adventures is a children's TV show produced for an audience of one: James. When the show abruptly ends, James's life changes forever, and he sets out to finish the story himself.",27/07/2017,100.0,,532669
